"";"my.ta"
"atom/";-102852,147058824
"atom/apm/";0
"atom/benchmark/";0
"atom/benchmark/fixtures/";0
"atom/benchmarks/";-2919,68190127971
"atom/build-old/";0
"atom/build-old/certs/";0
"atom/build-old/debian/";0
"atom/build-old/lib/";0
"atom/build-old/tasks/";0
"atom/build/";-4966,35104364326
"atom/build/certs/";0
"atom/build/debian/";0
"atom/build/lib/";-3409,81593927894
"atom/build/tasks/";-899,648481973435
"atom/docs/";0
"atom/docs/build-instructions/";0
"atom/dot-atom/";0
"atom/exports/";-3154,89705882353
"atom/keymaps/";0
"atom/menus/";0
"atom/old-build/certs/";0
"atom/old-build/tasks/";0
"atom/resources/";0
"atom/resources/app-icons/beta/";0
"atom/resources/app-icons/dev/";0
"atom/resources/app-icons/stable/";0
"atom/resources/linux/";0
"atom/resources/linux/debian/";0
"atom/resources/linux/redhat/";0
"atom/resources/mac/";0
"atom/resources/win/";0
"atom/script-old/";0
"atom/script-old/utils/";0
"atom/script/";-21492,8562618596
"atom/script/lib/";-22924,1831941545
"atom/script/utils/";-418,323529411765
"atom/spec/";-49103,1925996205
"atom/spec/browser/";-448,804554079696
"atom/spec/fixtures/";-32979,8135673624
"atom/spec/fixtures/babel/";-1260,85341555977
"atom/spec/fixtures/native-cache/";-5829,70920303605
"atom/spec/integration/";0
"atom/spec/integration/helpers/";0
"atom/spec/main-process/";-2008,62903225806
"atom/src/";-24546,2689753321
"atom/src/browser/";-224,402277039848
"atom/src/main-process/";-3664,76138519924
"atom/static/";0
"atom/static/variables/";0
"atom/vendor/";0
